Gender;Time_pressure;Experiment;Dice_report;Report_time;Within_time;Cheerful;active;active2;happy;loving;worried;tired;tired2;angry;calm;gloomy;bored;sad;tense;angry2;satisfied;pos_mood;neg_mood;filter_$
2.00;0.00;2.00;3.00;12.09;1.00;2.00;2.00;3.00;3.00;4.00;3.00;2.00;4.00;3.00;3.00;3.00;4.00;2.00;1.00;2.00;4.00;3.00;2.67;1
2.00;0.00;2.00;4.00;33.40;1.00;2.00;2.00;2.00;2.00;2.00;2.00;5.00;5.00;4.00;2.00;4.00;2.00;4.00;2.00;4.00;2.00;2.00;3.56;1
2.00;0.00;2.00;4.00;8.78;1.00;2.00;3.00;4.00;4.00;3.00;3.00;2.00;2.00;1.00;3.00;2.00;2.00;1.00;2.00;1.00;3.00;3.14;1.78;1
1.00;0.00;2.00;5.00;21.48;1.00;2.00;2.00;2.00;4.00;1.00;3.00;5.00;5.00;1.00;4.00;1.00;4.00;1.00;2.00;1.00;3.00;2.57;2.56;1
1.00;0.00;2.00;1.00;8.11;1.00;3.00;4.00;4.00;3.00;4.00;1.00;3.00;3.00;1.00;5.00;1.00;4.00;1.00;1.00;1.00;3.00;3.71;1.78;1
2.00;0.00;2.00;1.00;5.95;1.00;3.00;3.00;4.00;4.00;4.00;2.00;1.00;2.00;2.00;3.00;1.00;3.00;1.00;2.00;1.00;3.00;3.43;1.67;1
2.00;0.00;2.00;1.00;10.35;1.00;3.00;3.00;3.00;4.00;4.00;2.00;3.00;3.00;1.00;4.00;1.00;1.00;1.00;1.00;1.00;3.00;3.43;1.56;1
2.00;0.00;2.00;2.00;3.46;1.00;3.00;3.00;3.00;3.00;5.00;4.00;1.00;1.00;2.00;3.00;3.00;3.00;2.00;2.00;1.00;2.00;3.14;2.11;1
2.00;0.00;2.00;2.00;7.56;1.00;3.00;2.00;2.00;3.00;3.00;2.00;4.00;4.00;1.00;4.00;1.00;3.00;1.00;2.00;1.00;2.00;2.71;2.11;1
2.00;0.00;2.00;3.00;8.31;1.00;3.00;2.00;3.00;3.00;3.00;3.00;5.00;4.00;2.00;4.00;1.00;2.00;1.00;2.00;1.00;3.00;3.00;2.33;1
1.00;0.00;2.00;3.00;13.59;1.00;3.00;3.00;2.00;3.00;1.00;1.00;3.00;2.00;1.00;3.00;1.00;3.00;1.00;4.00;2.00;3.00;2.57;2.00;1
2.00;0.00;2.00;5.00;9.04;1.00;3.00;2.00;2.00;3.00;4.00;3.00;2.00;3.00;1.00;2.00;2.00;1.00;3.00;2.00;1.00;3.00;2.71;2.00;1
1.00;0.00;2.00;5.00;10.06;1.00;3.00;3.00;3.00;4.00;3.00;3.00;2.00;2.00;3.00;4.00;1.00;4.00;2.00;3.00;3.00;4.00;3.43;2.56;1
2.00;0.00;2.00;5.00;18.06;1.00;3.00;2.00;2.00;3.00;4.00;2.00;3.00;3.00;1.00;4.00;1.00;2.00;2.00;1.00;1.00;4.00;3.14;1.78;1
2.00;0.00;2.00;5.00;14.34;1.00;3.00;3.00;3.00;3.00;3.00;4.00;5.00;5.00;2.00;2.00;1.00;2.00;1.00;4.00;1.00;3.00;2.86;2.78;1
2.00;0.00;2.00;6.00;9.68;1.00;3.00;2.00;2.00;3.00;3.00;2.00;4.00;4.00;3.00;4.00;3.00;4.00;3.00;3.00;3.00;3.00;2.86;3.22;1
2.00;0.00;2.00;6.00;6.37;1.00;3.00;2.00;3.00;4.00;4.00;2.00;4.00;4.00;1.00;5.00;1.00;2.00;1.00;1.00;1.00;4.00;3.57;1.89;1
2.00;0.00;2.00;6.00;9.32;1.00;3.00;3.00;2.00;3.00;3.00;4.00;2.00;2.00;3.00;2.00;2.00;1.00;4.00;3.00;3.00;3.00;2.71;2.67;1
1.00;0.00;2.00;2.00;8.25;1.00;4.00;4.00;4.00;5.00;4.00;1.00;4.00;3.00;1.00;5.00;1.00;4.00;1.00;1.00;1.00;5.00;4.43;1.89;1
2.00;0.00;2.00;3.00;10.21;1.00;4.00;3.00;3.00;4.00;5.00;4.00;3.00;5.00;1.00;5.00;1.00;1.00;2.00;1.00;1.00;4.00;4.00;2.11;1
2.00;0.00;2.00;3.00;7.91;1.00;4.00;3.00;3.00;4.00;4.00;1.00;2.00;3.00;1.00;2.00;1.00;3.00;1.00;2.00;1.00;4.00;3.43;1.67;1
